schedule_id,employee_id,shift_date,start_time,end_time,overtime_hours,schedule_status
1,1,2026-07-01,09:00,17:00,0,Scheduled
2,1,2026-07-02,09:00,17:00,0,Scheduled
3,1,2026-07-03,09:00,17:00,0,Scheduled
4,1,2026-07-04,09:00,17:00,0,Scheduled
5,1,2026-07-05,09:00,17:00,1,Scheduled
6,1,2026-07-06,09:00,17:00,0,Scheduled
7,1,2026-07-07,09:00,17:00,2,Scheduled
8,2,2026-07-01,09:00,17:00,1,Scheduled
9,2,2026-07-02,09:00,17:00,0,Scheduled
10,2,2026-07-03,09:00,17:00,0,Scheduled
11,2,2026-07-04,09:00,17:00,0,Scheduled
12,2,2026-07-05,09:00,17:00,0,Scheduled
13,2,2026-07-06,09:00,17:00,1,Scheduled
14,2,2026-07-07,09:00,17:00,0,Scheduled
15,3,2026-07-01,09:00,17:00,1,Scheduled
16,3,2026-07-02,09:00,17:00,0,Scheduled
17,3,2026-07-03,09:00,17:00,2,Scheduled
18,3,2026-07-04,09:00,17:00,0,Scheduled
19,3,2026-07-05,09:00,17:00,0,Scheduled
20,3,2026-07-06,09:00,17:00,0,Scheduled
21,3,2026-07-07,09:00,17:00,0,Scheduled
22,4,2026-07-01,09:00,17:00,1,Scheduled
23,4,2026-07-02,09:00,17:00,0,Scheduled
24,4,2026-07-03,09:00,17:00,0,Scheduled
25,4,2026-07-04,09:00,17:00,0,Scheduled
26,4,2026-07-05,09:00,17:00,2,Scheduled
27,4,2026-07-06,09:00,17:00,0,Scheduled
28,4,2026-07-07,09:00,17:00,0,Scheduled
29,5,2026-07-01,09:00,17:00,0,Scheduled
30,5,2026-07-02,09:00,17:00,2,Scheduled
31,5,2026-07-03,09:00,17:00,1,Scheduled
32,5,2026-07-04,09:00,17:00,0,Scheduled
33,5,2026-07-05,09:00,17:00,2,Scheduled
34,5,2026-07-06,09:00,17:00,0,Scheduled
35,5,2026-07-07,09:00,17:00,0,Scheduled
36,6,2026-07-01,09:00,17:00,1,Scheduled
37,6,2026-07-02,09:00,17:00,0,Scheduled
38,6,2026-07-03,09:00,17:00,1,Scheduled
39,6,2026-07-04,09:00,17:00,0,Scheduled
40,6,2026-07-05,09:00,17:00,0,Scheduled
41,6,2026-07-06,09:00,17:00,0,Scheduled
42,6,2026-07-07,09:00,17:00,0,Scheduled
43,7,2026-07-01,09:00,17:00,0,Scheduled
44,7,2026-07-02,09:00,17:00,0,Scheduled
45,7,2026-07-03,09:00,17:00,2,Scheduled
46,7,2026-07-04,09:00,17:00,0,Scheduled
47,7,2026-07-05,09:00,17:00,0,Scheduled
48,7,2026-07-06,09:00,17:00,2,Scheduled
49,7,2026-07-07,09:00,17:00,0,Scheduled
50,8,2026-07-01,09:00,17:00,1,Scheduled
51,8,2026-07-02,09:00,17:00,2,Scheduled
52,8,2026-07-03,09:00,17:00,0,Scheduled
53,8,2026-07-04,09:00,17:00,0,Scheduled
54,8,2026-07-05,09:00,17:00,0,Scheduled
55,8,2026-07-06,09:00,17:00,0,Scheduled
56,8,2026-07-07,09:00,17:00,0,Scheduled
57,9,2026-07-01,09:00,17:00,0,Scheduled
58,9,2026-07-02,09:00,17:00,1,Scheduled
59,9,2026-07-03,09:00,17:00,0,Scheduled
60,9,2026-07-04,09:00,17:00,0,Scheduled
61,9,2026-07-05,09:00,17:00,0,Scheduled
62,9,2026-07-06,09:00,17:00,1,Scheduled
63,9,2026-07-07,09:00,17:00,1,Scheduled
64,10,2026-07-01,09:00,17:00,2,Scheduled
65,10,2026-07-02,09:00,17:00,0,Scheduled
66,10,2026-07-03,09:00,17:00,0,Scheduled
67,10,2026-07-04,09:00,17:00,0,Scheduled
68,10,2026-07-05,09:00,17:00,0,Scheduled
69,10,2026-07-06,09:00,17:00,0,Scheduled
70,10,2026-07-07,09:00,17:00,1,Scheduled
71,11,2026-07-01,09:00,17:00,0,Scheduled
72,11,2026-07-02,09:00,17:00,0,Scheduled
