adjustment_id,store_id,product_id,employee_id,adjustment_date,adjustment_type,quantity_adjusted,adjustment_notes
1,2,28,24,2026-07-15 14:00:00,Correction,-5,Inventory review
2,5,16,94,2026-07-15 14:00:00,Damage,-3,Inventory review
3,1,17,10,2026-07-15 14:00:00,Correction,-1,Inventory review
4,1,201,4,2026-07-15 14:00:00,Correction,-2,Inventory review
5,5,231,85,2026-07-15 14:00:00,Damage,-3,Inventory review
6,1,24,5,2026-07-15 14:00:00,Correction,-3,Inventory review
7,5,90,90,2026-07-15 14:00:00,Damage,-5,Inventory review
8,5,62,81,2026-07-15 14:00:00,Damage,-5,Inventory review
9,1,136,7,2026-07-15 14:00:00,Correction,-2,Inventory review
10,3,44,62,2026-07-15 14:00:00,Damage,-1,Inventory review
11,2,236,39,2026-07-15 14:00:00,Correction,-4,Inventory review
12,3,179,50,2026-07-15 14:00:00,Spoilage,-1,Inventory review
13,2,214,34,2026-07-15 14:00:00,Spoilage,-4,Inventory review
14,2,132,30,2026-07-15 14:00:00,Spoilage,-1,Inventory review
15,3,32,59,2026-07-15 14:00:00,Damage,-5,Inventory review
16,2,127,34,2026-07-15 14:00:00,Correction,-3,Inventory review
17,5,185,80,2026-07-15 14:00:00,Damage,-3,Inventory review
18,4,30,75,2026-07-15 14:00:00,Spoilage,-4,Inventory review
19,5,189,88,2026-07-15 14:00:00,Correction,-4,Inventory review
20,2,142,36,2026-07-15 14:00:00,Spoilage,-4,Inventory review
21,2,220,25,2026-07-15 14:00:00,Spoilage,-3,Inventory review
22,2,4,44,2026-07-15 14:00:00,Spoilage,-1,Inventory review
23,4,113,65,2026-07-15 14:00:00,Damage,-2,Inventory review
24,4,103,66,2026-07-15 14:00:00,Correction,-2,Inventory review
25,1,94,7,2026-07-15 14:00:00,Spoilage,-2,Inventory review
26,5,217,91,2026-07-15 14:00:00,Damage,-2,Inventory review
27,4,186,78,2026-07-15 14:00:00,Spoilage,-5,Inventory review
28,5,70,91,2026-07-15 14:00:00,Spoilage,-4,Inventory review
29,5,244,91,2026-07-15 14:00:00,Spoilage,-5,Inventory review
30,3,38,59,2026-07-15 14:00:00,Damage,-1,Inventory review
31,3,126,60,2026-07-15 14:00:00,Damage,-2,Inventory review
32,1,26,2,2026-07-15 14:00:00,Damage,-4,Inventory review
33,1,249,6,2026-07-15 14:00:00,Spoilage,-5,Inventory review
34,3,40,54,2026-07-15 14:00:00,Correction,-5,Inventory review
35,1,195,3,2026-07-15 14:00:00,Correction,-5,Inventory review
36,4,203,77,2026-07-15 14:00:00,Damage,-3,Inventory review
37,4,126,71,2026-07-15 14:00:00,Correction,-3,Inventory review
38,5,140,79,2026-07-15 14:00:00,Damage,-4,Inventory review
39,1,99,15,2026-07-15 14:00:00,Spoilage,-4,Inventory review
40,4,118,64,2026-07-15 14:00:00,Damage,-2,Inventory review
41,5,169,88,2026-07-15 14:00:00,Correction,-2,Inventory review
42,4,111,67,2026-07-15 14:00:00,Spoilage,-4,Inventory review
43,4,196,66,2026-07-15 14:00:00,Correction,-4,Inventory review
44,5,176,94,2026-07-15 14:00:00,Spoilage,-5,Inventory review
45,2,130,24,2026-07-15 14:00:00,Spoilage,-3,Inventory review
46,4,152,75,2026-07-15 14:00:00,Correction,-3,Inventory review
47,3,83,46,2026-07-15 14:00:00,Damage,-5,Inventory review
48,1,33,12,2026-07-15 14:00:00,Spoilage,-5,Inventory review
49,1,196,21,2026-07-15 14:00:00,Spoilage,-4,Inventory review
50,1,110,12,2026-07-15 14:00:00,Spoilage,-4,Inventory review
51,3,15,52,2026-07-15 14:00:00,Damage,-2,Inventory review
52,3,152,47,2026-07-15 14:00:00,Correction,-1,Inventory review
53,3,30,55,2026-07-15 14:00:00,Damage,-1,Inventory review
54,5,84,80,2026-07-15 14:00:00,Spoilage,-4,Inventory review
55,5,132,92,2026-07-15 14:00:00,Spoilage,-1,Inventory review
56,4,151,63,2026-07-15 14:00:00,Spoilage,-4,Inventory review
57,5,100,89,2026-07-15 14:00:00,Correction,-1,Inventory review
58,4,26,69,2026-07-15 14:00:00,Spoilage,-4,Inventory review
59,5,208,89,2026-07-15 14:00:00,Damage,-5,Inventory review
60,3,94,58,2026-07-15 14:00:00,Damage,-4,Inventory review
61,1,216,18,2026-07-15 14:00:00,Damage,-3,Inventory review
62,3,13,54,2026-07-15 14:00:00,Correction,-4,Inventory review
63,2,160,25,2026-07-15 14:00:00,Correction,-5,Inventory review
64,1,152,11,2026-07-15 14:00:00,Spoilage,-1,Inventory review
65,5,206,94,2026-07-15 14:00:00,Spoilage,-2,Inventory review
