product_id,category_id,product_name,brand,unit_size,selling_price,discontinued_status
1,1,Organic Bananas 1,Brand 2,1 unit,11.87,False
2,1,Honeycrisp Apples 2,Brand 3,1 unit,11.3,False
3,2,Whole Milk 3,Brand 4,1 unit,16.72,False
4,2,Greek Yogurt 4,Brand 5,1 unit,8.66,False
5,2,Large Eggs 5,Brand 6,1 unit,11.32,False
6,3,Sourdough Bread 6,Brand 7,1 unit,24.22,False
7,3,Bagels 7,Brand 8,1 unit,5.95,False
8,4,Chicken Breast 8,Brand 9,1 unit,23.8,False
9,4,Ground Beef 9,Brand 10,1 unit,12.58,False
10,5,Frozen Pizza 10,Brand 11,1 unit,17.86,False
11,5,Ice Cream 11,Brand 12,1 unit,10.32,False
12,6,Orange Juice 12,Brand 13,1 unit,12.04,False
13,6,Sparkling Water 13,Brand 14,1 unit,4.43,False
14,7,Potato Chips 14,Brand 15,1 unit,12.02,False
15,7,Chocolate Cookies 15,Brand 1,1 unit,11.21,False
16,8,Paper Towels 16,Brand 2,1 unit,3.81,False
17,8,Dish Soap 17,Brand 3,1 unit,22.02,False
18,9,Toothpaste 18,Brand 4,1 unit,19.15,False
19,9,Shampoo 19,Brand 5,1 unit,7.1,False
20,10,Long Grain Rice 20,Brand 6,1 unit,19.92,False
21,10,Pasta 21,Brand 7,1 unit,3.76,False
22,10,Coffee 22,Brand 8,1 unit,16.56,False
23,1,Organic Bananas 23,Brand 9,1 unit,14.2,False
24,1,Honeycrisp Apples 24,Brand 10,1 unit,6.46,False
25,2,Whole Milk 25,Brand 11,1 unit,19.85,False
26,2,Greek Yogurt 26,Brand 12,1 unit,10.08,False
27,2,Large Eggs 27,Brand 13,1 unit,24.04,False
28,3,Sourdough Bread 28,Brand 14,1 unit,16.85,False
29,3,Bagels 29,Brand 15,1 unit,5.4,False
30,4,Chicken Breast 30,Brand 1,1 unit,4.36,False
31,4,Ground Beef 31,Brand 2,1 unit,7.89,False
32,5,Frozen Pizza 32,Brand 3,1 unit,5.99,False
33,5,Ice Cream 33,Brand 4,1 unit,5.52,False
34,6,Orange Juice 34,Brand 5,1 unit,19.46,False
35,6,Sparkling Water 35,Brand 6,1 unit,3.73,False
36,7,Potato Chips 36,Brand 7,1 unit,23.88,False
37,7,Chocolate Cookies 37,Brand 8,1 unit,16.44,False
38,8,Paper Towels 38,Brand 9,1 unit,12.67,False
39,8,Dish Soap 39,Brand 10,1 unit,14.97,False
40,9,Toothpaste 40,Brand 11,1 unit,15.33,False
41,9,Shampoo 41,Brand 12,1 unit,17.67,False
42,10,Long Grain Rice 42,Brand 13,1 unit,22.29,False
43,10,Pasta 43,Brand 14,1 unit,16.79,False
44,10,Coffee 44,Brand 15,1 unit,24.69,False
45,1,Organic Bananas 45,Brand 1,1 unit,9.43,False
46,1,Honeycrisp Apples 46,Brand 2,1 unit,24.33,False
47,2,Whole Milk 47,Brand 3,1 unit,9.27,False
48,2,Greek Yogurt 48,Brand 4,1 unit,12.11,False
49,2,Large Eggs 49,Brand 5,1 unit,12.79,False
50,3,Sourdough Bread 50,Brand 6,1 unit,16.52,False
51,3,Bagels 51,Brand 7,1 unit,20.32,False
52,4,Chicken Breast 52,Brand 8,1 unit,15.6,False
53,4,Ground Beef 53,Brand 9,1 unit,10.09,False
54,5,Frozen Pizza 54,Brand 10,1 unit,3.71,False
55,5,Ice Cream 55,Brand 11,1 unit,12.62,False
56,6,Orange Juice 56,Brand 12,1 unit,2.86,False
57,6,Sparkling Water 57,Brand 13,1 unit,10.48,False
58,7,Potato Chips 58,Brand 14,1 unit,8.6,False
59,7,Chocolate Cookies 59,Brand 15,1 unit,16.83,False
60,8,Paper Towels 60,Brand 1,1 unit,24.48,False
61,8,Dish Soap 61,Brand 2,1 unit,4.08,False
62,9,Toothpaste 62,Brand 3,1 unit,15.66,False
63,9,Shampoo 63,Brand 4,1 unit,10.84,False
64,10,Long Grain Rice 64,Brand 5,1 unit,15.35,False
65,10,Pasta 65,Brand 6,1 unit,23.95,False
66,10,Coffee 66,Brand 7,1 unit,19.0,False
67,1,Organic Bananas 67,Brand 8,1 unit,2.94,False
68,1,Honeycrisp Apples 68,Brand 9,1 unit,22.91,False
69,2,Whole Milk 69,Brand 10,1 unit,15.15,False
70,2,Greek Yogurt 70,Brand 11,1 unit,6.33,False
71,2,Large Eggs 71,Brand 12,1 unit,15.92,False
72,3,Sourdough Bread 72,Brand 13,1 unit,13.53,False
73,3,Bagels 73,Brand 14,1 unit,24.03,False
74,4,Chicken Breast 74,Brand 15,1 unit,12.36,False
75,4,Ground Beef 75,Brand 1,1 unit,20.65,False
76,5,Frozen Pizza 76,Brand 2,1 unit,21.26,False
77,5,Ice Cream 77,Brand 3,1 unit,24.59,False
78,6,Orange Juice 78,Brand 4,1 unit,3.94,False
79,6,Sparkling Water 79,Brand 5,1 unit,16.86,False
80,7,Potato Chips 80,Brand 6,1 unit,2.9,False
81,7,Chocolate Cookies 81,Brand 7,1 unit,18.28,False
82,8,Paper Towels 82,Brand 8,1 unit,24.79,False
83,8,Dish Soap 83,Brand 9,1 unit,14.05,False
84,9,Toothpaste 84,Brand 10,1 unit,16.03,False
