purchase_order_id,vendor_id,store_id,employee_id,order_date,expected_delivery_date,order_status
1,8,2,32,2026-06-01,2026-06-05,Received
2,10,3,47,2026-06-01,2026-06-05,Received
3,1,2,26,2026-06-01,2026-06-05,Received
4,10,2,28,2026-06-01,2026-06-05,Received
5,7,1,9,2026-06-01,2026-06-05,Received
6,6,4,78,2026-06-01,2026-06-05,Received
7,6,3,46,2026-06-01,2026-06-05,Received
8,7,3,52,2026-06-01,2026-06-05,Received
9,1,2,34,2026-06-01,2026-06-05,Received
10,1,3,49,2026-06-01,2026-06-05,Received
11,8,2,44,2026-06-01,2026-06-05,Received
12,4,1,20,2026-06-01,2026-06-05,Received
13,3,2,23,2026-06-01,2026-06-05,Received
14,2,1,21,2026-06-01,2026-06-05,Received
15,7,3,57,2026-06-01,2026-06-05,Received
16,2,3,61,2026-06-01,2026-06-05,Received
17,7,5,84,2026-06-01,2026-06-05,Received
18,5,4,72,2026-06-01,2026-06-05,Received
19,9,2,44,2026-06-01,2026-06-05,Received
20,10,4,72,2026-06-01,2026-06-05,Received
21,2,4,66,2026-06-01,2026-06-05,Received
22,6,3,49,2026-06-01,2026-06-05,Received
23,4,2,35,2026-06-01,2026-06-05,Received
24,1,3,50,2026-06-01,2026-06-05,Received
25,1,4,66,2026-06-01,2026-06-05,Received
26,7,1,17,2026-06-01,2026-06-05,Received
27,5,2,36,2026-06-01,2026-06-05,Received
28,6,1,6,2026-06-01,2026-06-05,Received
29,4,3,60,2026-06-01,2026-06-05,Received
30,2,1,15,2026-06-01,2026-06-05,Received
31,4,2,28,2026-06-01,2026-06-05,Received
32,3,1,7,2026-06-01,2026-06-05,Received
33,7,2,37,2026-06-01,2026-06-05,Received
34,10,3,48,2026-06-01,2026-06-05,Received
35,3,4,65,2026-06-01,2026-06-05,Received
36,7,2,26,2026-06-01,2026-06-05,Received
37,6,2,23,2026-06-01,2026-06-05,Received
38,8,3,60,2026-06-01,2026-06-05,Received
39,2,3,45,2026-06-01,2026-06-05,Received
40,1,1,22,2026-06-01,2026-06-05,Received
41,1,3,48,2026-06-01,2026-06-05,Received
42,1,1,13,2026-06-01,2026-06-05,Received
43,5,3,60,2026-06-01,2026-06-05,Received
44,6,2,42,2026-06-01,2026-06-05,Received
45,6,2,44,2026-06-01,2026-06-05,Received
46,6,5,86,2026-06-01,2026-06-05,Received
47,7,5,91,2026-06-01,2026-06-05,Received
48,6,3,55,2026-06-01,2026-06-05,Received
49,1,4,77,2026-06-01,2026-06-05,Received
50,7,4,67,2026-06-01,2026-06-05,Received
51,2,1,17,2026-06-01,2026-06-05,Received
52,4,2,34,2026-06-01,2026-06-05,Received
53,8,2,39,2026-06-01,2026-06-05,Received
54,4,2,23,2026-06-01,2026-06-05,Received
55,6,5,79,2026-06-01,2026-06-05,Received
56,1,3,55,2026-06-01,2026-06-05,Received
57,4,3,60,2026-06-01,2026-06-05,Received
58,10,2,25,2026-06-01,2026-06-05,Received
59,8,2,44,2026-06-01,2026-06-05,Received
60,2,4,75,2026-06-01,2026-06-05,Received
61,4,2,27,2026-06-01,2026-06-05,Received
62,10,4,64,2026-06-01,2026-06-05,Received
63,2,1,10,2026-06-01,2026-06-05,Received
64,9,4,77,2026-06-01,2026-06-05,Received
65,8,1,4,2026-06-01,2026-06-05,Received
66,9,2,30,2026-06-01,2026-06-05,Received
67,3,2,44,2026-06-01,2026-06-05,Received
68,2,3,58,2026-06-01,2026-06-05,Received
69,1,5,84,2026-06-01,2026-06-05,Received
70,6,5,91,2026-06-01,2026-06-05,Received
71,4,4,71,2026-06-01,2026-06-05,Received
72,2,3,49,2026-06-01,2026-06-05,Received
73,8,5,81,2026-06-01,2026-06-05,Received
74,6,4,70,2026-06-01,2026-06-05,Received
75,10,5,81,2026-06-01,2026-06-05,Received
76,7,3,57,2026-06-01,2026-06-05,Received
77,9,3,58,2026-06-01,2026-06-05,Received
78,4,4,71,2026-06-01,2026-06-05,Received
79,2,1,4,2026-06-01,2026-06-05,Received
80,10,1,7,2026-06-01,2026-06-05,Received
81,2,4,74,2026-06-01,2026-06-05,Received
82,6,1,13,2026-06-01,2026-06-05,Received
83,1,2,32,2026-06-01,2026-06-05,Received
84,9,1,7,2026-06-01,2026-06-05,Received
85,7,4,73,2026-06-01,2026-06-05,Received
86,3,4,70,2026-06-01,2026-06-05,Received
87,1,1,18,2026-06-01,2026-06-05,Received
88,6,4,67,2026-06-01,2026-06-05,Received
89,5,4,70,2026-06-01,2026-06-05,Received
90,8,2,27,2026-06-01,2026-06-05,Received
91,3,3,46,2026-06-01,2026-06-05,Received
92,5,3,61,2026-06-01,2026-06-05,Received
93,2,5,87,2026-06-01,2026-06-05,Received
94,10,5,94,2026-06-01,2026-06-05,Received
95,4,3,60,2026-06-01,2026-06-05,Received
96,7,2,24,2026-06-01,2026-06-05,Received
97,6,5,83,2026-06-01,2026-06-05,Received
98,4,4,70,2026-06-01,2026-06-05,Received
99,1,3,50,2026-06-01,2026-06-05,Received
100,7,4,72,2026-06-01,2026-06-05,Received
101,3,5,79,2026-06-01,2026-06-05,Received
102,6,2,36,2026-06-01,2026-06-05,Received
103,6,3,57,2026-06-01,2026-06-05,Received
104,9,2,32,2026-06-01,2026-06-05,Received
105,4,2,40,2026-06-01,2026-06-05,Received
106,3,2,33,2026-06-01,2026-06-05,Received
107,10,4,64,2026-06-01,2026-06-05,Received
108,5,4,77,2026-06-01,2026-06-05,Received
109,10,3,49,2026-06-01,2026-06-05,Received
110,8,2,32,2026-06-01,2026-06-05,Received
111,4,5,85,2026-06-01,2026-06-05,Received
112,4,4,63,2026-06-01,2026-06-05,Received
113,10,2,26,2026-06-01,2026-06-05,Received
114,3,3,57,2026-06-01,2026-06-05,Received
115,7,5,84,2026-06-01,2026-06-05,Received
116,2,5,90,2026-06-01,2026-06-05,Received
117,3,5,80,2026-06-01,2026-06-05,Received
118,9,1,21,2026-06-01,2026-06-05,Received
119,7,2,27,2026-06-01,2026-06-05,Received
120,7,3,52,2026-06-01,2026-06-05,Received
121,4,1,13,2026-06-01,2026-06-05,Received
122,10,2,28,2026-06-01,2026-06-05,Received
123,7,3,47,2026-06-01,2026-06-05,Received
124,7,4,71,2026-06-01,2026-06-05,Received
125,8,3,56,2026-06-01,2026-06-05,Received
126,2,1,3,2026-06-01,2026-06-05,Received
127,9,1,8,2026-06-01,2026-06-05,Received
128,10,1,19,2026-06-01,2026-06-05,Received
129,2,2,41,2026-06-01,2026-06-05,Received
130,8,1,21,2026-06-01,2026-06-05,Received
131,5,3,49,2026-06-01,2026-06-05,Received
132,2,1,18,2026-06-01,2026-06-05,Received
133,1,1,13,2026-06-01,2026-06-05,Received
134,9,2,39,2026-06-01,2026-06-05,Received
135,9,2,41,2026-06-01,2026-06-05,Received
136,2,2,29,2026-06-01,2026-06-05,Received
137,2,5,84,2026-06-01,2026-06-05,Received
138,3,4,63,2026-06-01,2026-06-05,Received
139,6,2,26,2026-06-01,2026-06-05,Received
140,10,1,7,2026-06-01,2026-06-05,Received
141,2,3,62,2026-06-01,2026-06-05,Received
142,1,2,25,2026-06-01,2026-06-05,Received
143,9,5,88,2026-06-01,2026-06-05,Received
144,9,2,28,2026-06-01,2026-06-05,Received
145,1,2,30,2026-06-01,2026-06-05,Received
146,9,2,32,2026-06-01,2026-06-05,Received
147,8,3,49,2026-06-01,2026-06-05,Received
148,6,2,39,2026-06-01,2026-06-05,Received
149,6,5,85,2026-06-01,2026-06-05,Received
150,1,3,52,2026-06-01,2026-06-05,Received
151,3,1,10,2026-06-01,2026-06-05,Received
152,4,4,67,2026-06-01,2026-06-05,Received
153,4,3,56,2026-06-01,2026-06-05,Received
154,10,2,36,2026-06-01,2026-06-05,Received
155,5,1,9,2026-06-01,2026-06-05,Received
156,3,2,35,2026-06-01,2026-06-05,Received
157,5,2,44,2026-06-01,2026-06-05,Received
158,3,2,40,2026-06-01,2026-06-05,Received
159,5,1,21,2026-06-01,2026-06-05,Received
160,4,3,56,2026-06-01,2026-06-05,Received
161,9,2,42,2026-06-01,2026-06-05,Received
162,3,1,11,2026-06-01,2026-06-05,Received
163,7,5,91,2026-06-01,2026-06-05,Received
164,10,1,8,2026-06-01,2026-06-05,Received
