purchase_order_item_id,purchase_order_id,product_id,quantity_ordered,unit_cost,quantity_received
1,1,232,18,11.95,18
2,1,58,42,5.97,42
3,1,45,32,4.91,32
4,1,20,13,10.51,13
5,1,94,37,8.69,37
6,2,127,17,13.55,17
7,2,98,31,13.73,31
8,2,44,53,17.13,53
9,2,96,25,5.04,25
10,2,249,44,3.2,44
11,3,218,29,13.87,29
12,3,197,40,2.0,40
13,3,220,28,7.32,28
14,3,31,26,5.45,26
15,3,75,23,13.88,23
16,4,1,23,8.07,23
17,4,189,29,7.45,29
18,4,162,51,12.48,51
19,4,146,42,5.79,42
20,4,101,12,1.97,12
21,5,240,41,4.82,41
22,5,119,13,8.31,13
23,5,229,32,11.43,32
24,5,159,10,9.64,10
25,5,218,49,13.87,49
26,6,118,10,2.42,10
27,6,85,32,4.86,32
28,6,77,56,14.45,56
29,6,91,21,8.68,21
30,6,28,35,9.02,35
31,7,91,22,8.68,22
32,7,3,15,7.8,15
33,7,26,43,5.6,43
34,7,111,42,10.72,42
35,7,126,19,3.73,19
36,8,106,19,11.43,19
37,8,32,59,3.32,59
38,8,234,52,11.94,52
39,8,125,26,9.84,26
40,8,2,24,5.94,24
41,9,121,37,1.19,37
42,9,102,21,11.04,21
43,9,96,44,5.04,44
44,9,77,27,14.45,27
45,9,94,16,8.69,16
46,10,113,32,2.92,32
47,10,169,57,1.87,57
48,10,215,37,10.6,37
49,10,42,10,12.48,10
50,10,36,32,14.47,32
51,11,227,22,10.56,22
52,11,223,28,9.37,28
53,11,182,12,12.26,12
54,11,51,18,13.9,18
55,11,29,35,3.37,35
56,12,108,20,12.55,20
57,12,191,52,3.53,52
58,12,85,22,4.86,22
59,12,231,40,5.83,40
60,12,9,52,7.61,52
61,13,69,41,8.81,41
62,13,31,53,5.45,53
63,13,108,55,12.55,55
64,13,126,18,3.73,18
65,13,141,30,10.15,30
66,14,193,42,2.42,42
67,14,196,56,2.96,56
68,14,200,57,11.22,57
69,14,226,34,6.96,34
70,14,103,18,12.36,18
71,15,29,18,3.37,18
72,15,246,19,2.34,19
73,15,28,32,9.02,32
74,15,203,42,8.55,42
75,15,6,10,12.31,10
76,16,197,31,2.0,31
77,16,176,37,2.47,37
78,16,61,48,2.17,48
79,16,14,57,8.13,57
80,16,174,10,7.77,10
81,17,112,15,5.01,15
82,17,123,58,13.66,58
83,17,75,37,13.88,37
84,17,73,25,16.19,25
85,17,125,49,9.84,49
86,18,40,27,6.94,27
87,18,187,59,6.57,59
88,18,131,17,6.39,17
89,18,48,26,5.98,26
90,18,64,54,9.7,54
91,19,64,40,9.7,40
92,19,171,55,5.46,55
93,19,211,60,9.23,60
94,19,110,16,7.52,16
95,19,51,54,13.9,54
96,20,187,47,6.57,47
97,20,129,50,4.31,50
98,20,157,50,3.72,50
99,20,47,19,4.74,19
100,20,49,24,5.82,24
101,21,31,22,5.45,22
102,21,34,19,9.82,19
103,21,103,37,12.36,37
104,21,10,11,12.22,11
105,21,71,49,9.48,49
106,22,52,36,7.96,36
107,22,24,43,3.14,43
108,22,222,29,9.91,29
109,22,14,54,8.13,54
110,22,98,50,13.73,50
111,23,60,13,16.25,13
112,23,57,42,5.7,42
113,23,87,37,6.67,37
114,23,110,51,7.52,51
115,23,123,13,13.66,13
116,24,78,32,2.06,32
117,24,29,55,3.37,55
118,24,69,36,8.81,36
119,24,94,25,8.69,25
120,24,72,30,8.29,30
121,25,230,13,8.1,13
122,25,13,52,2.78,52
123,25,47,57,4.74,57
124,25,11,30,5.98,30
125,25,1,23,8.07,23
126,26,74,16,6.79,16
127,26,121,37,1.19,37
128,26,72,21,8.29,21
129,26,233,26,8.73,26
130,26,156,41,12.82,41
131,27,94,52,8.69,52
132,27,86,10,15.27,10
133,27,78,53,2.06,53
134,27,29,45,3.37,45
135,27,25,59,13.0,59
136,28,221,33,11.19,33
137,28,34,57,9.82,57
138,28,85,59,4.86,59
139,28,93,47,6.7,47
140,28,190,43,1.95,43
141,29,155,23,11.55,23
142,29,96,47,5.04,47
143,29,61,34,2.17,34
144,29,167,15,7.84,15
145,29,71,16,9.48,16
146,30,34,12,9.82,12
147,30,162,47,12.48,47
148,30,191,51,3.53,51
149,30,155,22,11.55,22
150,30,31,22,5.45,22
151,31,181,44,1.87,44
152,31,115,49,14.45,49
153,31,237,31,12.03,31
154,31,26,29,5.6,29
155,31,20,56,10.51,56
156,32,122,19,4.5,19
157,32,195,12,5.27,12
158,32,52,18,7.96,18
159,32,137,22,7.32,22
160,32,185,36,14.77,36
161,33,141,58,10.15,58
162,33,183,45,12.83,45
163,33,65,32,14.46,32
164,33,229,33,11.43,33
165,33,225,38,0.92,38
166,34,162,14,12.48,14
167,34,184,40,14.51,40
168,34,31,36,5.45,36
169,34,234,43,11.94,43
170,34,112,42,5.01,42
171,35,203,54,8.55,54
172,35,6,18,12.31,18
173,35,43,28,11.39,28
174,35,154,12,16.92,12
175,35,71,46,9.48,46
176,36,16,57,2.17,57
177,36,204,35,10.66,35
178,36,249,41,3.2,41
179,36,178,53,7.39,53
180,36,49,44,5.82,44
181,37,223,38,9.37,38
182,37,132,58,9.62,58
183,37,249,42,3.2,42
184,37,20,34,10.51,34
185,37,43,45,11.39,45
186,38,200,23,11.22,23
187,38,100,21,3.44,21
188,38,103,10,12.36,10
189,38,156,20,12.82,20
190,38,70,46,4.36,46
191,39,56,60,1.42,60
192,39,152,42,4.66,42
193,39,179,39,8.86,39
194,39,3,42,7.8,42
195,39,226,55,6.96,55
196,40,185,24,14.77,24
197,40,135,28,10.28,28
198,40,67,55,1.6,55
199,40,78,27,2.06,27
200,40,219,45,8.93,45
201,41,31,25,5.45,25
