sale_id,store_id,customer_id,employee_id,sale_datetime,payment_method
1,4,656,67,2026-05-08 19:00:00,Debit
2,3,639,51,2026-06-01 19:00:00,Credit
3,1,254,7,2026-02-04 15:00:00,Credit
4,2,125,32,2026-07-15 15:00:00,Debit
5,2,560,31,2026-03-08 19:00:00,Cash
6,3,150,45,2026-07-20 11:00:00,Credit
7,1,560,7,2026-06-08 11:00:00,Debit
8,2,505,34,2026-04-04 19:00:00,Cash
9,2,427,36,2026-04-26 11:00:00,Credit
10,1,595,10,2026-05-19 15:00:00,Credit
11,3,364,49,2026-07-20 15:00:00,Debit
12,4,367,69,2026-05-01 19:00:00,Debit
13,5,672,83,2026-05-17 09:00:00,Debit
14,3,144,53,2026-05-15 17:00:00,Cash
15,2,386,38,2026-04-27 17:00:00,Cash
16,3,539,53,2026-05-17 17:00:00,Credit
17,3,633,57,2026-06-19 13:00:00,Credit
18,1,682,4,2026-07-06 13:00:00,Debit
19,5,243,82,2026-05-25 13:00:00,Credit
20,4,64,71,2026-04-14 19:00:00,Credit
21,1,622,21,2026-06-15 17:00:00,Credit
22,5,137,85,2026-04-23 15:00:00,Credit
23,2,166,36,2026-05-10 13:00:00,Cash
24,4,685,66,2026-03-19 09:00:00,Credit
25,1,418,19,2026-02-01 13:00:00,Cash
26,4,658,78,2026-04-22 17:00:00,Credit
27,4,366,67,2026-05-16 15:00:00,Credit
28,2,81,27,2026-06-28 09:00:00,Cash
29,2,554,33,2026-02-08 09:00:00,Credit
30,1,367,3,2026-07-27 13:00:00,Credit
31,5,531,88,2026-01-19 13:00:00,Debit
32,3,270,45,2026-05-04 17:00:00,Credit
33,2,61,27,2026-03-11 19:00:00,Credit
34,2,64,30,2026-06-25 17:00:00,Debit
35,1,37,12,2026-07-20 17:00:00,Credit
36,5,565,94,2026-06-20 19:00:00,Credit
37,2,231,43,2026-01-02 15:00:00,Debit
38,2,234,23,2026-04-28 19:00:00,Credit
39,1,389,22,2026-07-07 15:00:00,Cash
40,4,387,67,2026-05-02 15:00:00,Debit
41,3,631,56,2026-05-04 15:00:00,Debit
42,1,95,19,2026-05-02 13:00:00,Credit
43,1,582,2,2026-06-26 19:00:00,Credit
44,4,130,77,2026-03-02 09:00:00,Credit
45,2,251,32,2026-04-20 17:00:00,Credit
46,3,79,53,2026-05-04 17:00:00,Cash
47,1,226,15,2026-06-27 13:00:00,Cash
48,2,670,30,2026-04-18 13:00:00,Cash
49,5,56,90,2026-04-18 15:00:00,Debit
50,3,141,61,2026-06-09 09:00:00,Credit
51,2,146,24,2026-05-04 13:00:00,Credit
52,3,22,60,2026-06-15 19:00:00,Credit
53,2,87,24,2026-06-10 19:00:00,Debit
54,4,394,77,2026-04-01 19:00:00,Credit
55,1,54,22,2026-04-22 15:00:00,Debit
56,1,345,9,2026-06-01 19:00:00,Cash
57,1,445,14,2026-01-24 19:00:00,Cash
58,5,398,88,2026-06-26 11:00:00,Cash
59,2,267,28,2026-05-19 17:00:00,Debit
60,2,16,31,2026-07-08 11:00:00,Cash
61,5,303,89,2026-02-08 17:00:00,Cash
62,2,257,43,2026-06-12 13:00:00,Cash
63,1,271,6,2026-04-22 13:00:00,Debit
64,2,368,38,2026-05-15 09:00:00,Cash
65,4,82,71,2026-03-02 17:00:00,Cash
66,2,283,31,2026-07-15 11:00:00,Debit
67,1,672,2,2026-06-05 19:00:00,Credit
68,1,451,19,2026-01-22 15:00:00,Debit
69,1,266,9,2026-06-02 19:00:00,Credit
70,3,46,52,2026-07-12 17:00:00,Debit
71,1,243,7,2026-05-04 15:00:00,Debit
72,2,658,36,2026-07-22 15:00:00,Debit
73,1,418,21,2026-04-26 13:00:00,Debit
74,2,378,24,2026-07-20 09:00:00,Debit
75,5,217,89,2026-07-01 11:00:00,Cash
76,3,353,51,2026-06-26 17:00:00,Debit
77,4,665,65,2026-01-24 11:00:00,Credit
78,5,589,92,2026-07-19 15:00:00,Cash
79,4,622,78,2026-07-17 19:00:00,Cash
80,2,590,32,2026-05-09 11:00:00,Credit
81,2,323,26,2026-07-12 13:00:00,Cash
82,2,361,40,2026-06-14 13:00:00,Cash
83,1,460,14,2026-04-16 17:00:00,Credit
84,2,251,36,2026-07-05 19:00:00,Cash
85,3,350,55,2026-02-09 19:00:00,Credit
86,1,648,7,2026-04-05 17:00:00,Credit
87,4,568,78,2026-01-04 15:00:00,Cash
88,1,171,3,2026-07-27 15:00:00,Credit
89,2,363,27,2026-05-13 19:00:00,Debit
90,3,345,48,2026-03-10 11:00:00,Cash
91,1,419,21,2026-06-12 19:00:00,Debit
92,4,138,68,2026-05-25 15:00:00,Cash
93,4,8,74,2026-07-17 11:00:00,Cash
94,3,603,53,2026-04-15 11:00:00,Credit
95,1,538,19,2026-05-02 17:00:00,Cash
96,4,183,67,2026-05-11 15:00:00,Credit
97,4,532,71,2026-06-24 13:00:00,Cash
98,4,122,72,2026-04-12 13:00:00,Debit
99,2,266,42,2026-03-06 13:00:00,Credit
100,5,566,84,2026-06-05 11:00:00,Credit
101,3,200,45,2026-01-18 15:00:00,Debit
102,4,585,76,2026-01-07 13:00:00,Cash
103,2,113,26,2026-02-15 13:00:00,Debit
104,4,286,66,2026-05-03 19:00:00,Debit
105,4,335,68,2026-06-08 17:00:00,Cash
106,2,76,33,2026-05-24 15:00:00,Credit
107,2,195,40,2026-07-26 15:00:00,Cash
108,4,252,67,2026-06-21 17:00:00,Cash
109,2,482,27,2026-07-22 11:00:00,Debit
110,4,651,65,2026-06-10 11:00:00,Cash
111,4,503,69,2026-06-01 15:00:00,Cash
112,1,647,19,2026-04-09 17:00:00,Credit
113,3,308,52,2026-05-22 19:00:00,Debit
114,3,366,62,2026-05-21 15:00:00,Debit
115,2,430,37,2026-03-25 17:00:00,Debit
116,2,327,44,2026-05-06 15:00:00,Credit
117,2,496,38,2026-04-05 17:00:00,Cash
118,2,221,36,2026-03-10 13:00:00,Credit
119,2,401,37,2026-04-22 13:00:00,Debit
120,2,225,33,2026-07-09 15:00:00,Cash
121,4,171,69,2026-04-14 13:00:00,Cash
122,1,620,18,2026-07-20 13:00:00,Credit
123,5,342,90,2026-01-13 11:00:00,Cash
124,1,204,6,2026-01-07 13:00:00,Cash
125,2,383,33,2026-06-10 19:00:00,Debit
126,1,21,17,2026-06-01 09:00:00,Credit
127,2,309,23,2026-07-02 11:00:00,Credit
128,3,127,57,2026-06-02 13:00:00,Cash
129,2,79,25,2026-07-09 19:00:00,Cash
130,4,555,67,2026-06-14 09:00:00,Credit
131,4,320,73,2026-07-07 19:00:00,Debit
132,2,103,31,2026-01-09 15:00:00,Cash
133,2,417,40,2026-04-14 11:00:00,Debit
134,2,392,23,2026-07-18 15:00:00,Debit
135,4,111,77,2026-07-25 17:00:00,Credit
136,2,379,38,2026-01-25 13:00:00,Cash
137,1,86,4,2026-04-05 19:00:00,Cash
138,1,86,5,2026-07-16 17:00:00,Debit
139,3,239,46,2026-05-24 19:00:00,Debit
140,2,38,33,2026-04-11 19:00:00,Cash
141,2,215,40,2026-04-01 13:00:00,Debit
142,2,473,38,2026-04-21 13:00:00,Cash
143,2,108,36,2026-06-24 11:00:00,Cash
144,1,125,6,2026-02-01 11:00:00,Credit
145,2,508,28,2026-07-02 19:00:00,Cash
146,4,429,75,2026-05-24 19:00:00,Credit
147,2,693,31,2026-05-10 17:00:00,Cash
148,2,145,32,2026-07-19 17:00:00,Cash
149,3,620,53,2026-07-23 13:00:00,Debit
150,2,139,28,2026-07-24 17:00:00,Cash
151,3,154,60,2026-05-11 15:00:00,Credit
152,5,97,93,2026-01-23 11:00:00,Debit
153,1,359,21,2026-06-20 11:00:00,Cash
154,4,282,72,2026-04-01 19:00:00,Debit
155,3,261,62,2026-04-20 17:00:00,Cash
156,3,222,53,2026-03-19 11:00:00,Credit
157,2,661,35,2026-02-26 15:00:00,Debit
158,2,631,44,2026-07-20 13:00:00,Debit
159,1,94,20,2026-01-08 19:00:00,Credit
160,1,54,5,2026-05-01 13:00:00,Cash
161,4,513,66,2026-05-16 13:00:00,Credit
162,2,364,32,2026-04-13 17:00:00,Cash
163,2,171,43,2026-02-20 19:00:00,Debit
164,3,257,48,2026-07-18 15:00:00,Cash
165,5,375,93,2026-06-06 09:00:00,Cash
166,2,196,35,2026-05-20 17:00:00,Debit
167,1,370,17,2026-06-01 11:00:00,Credit
168,1,260,17,2026-04-04 19:00:00,Credit
169,3,408,46,2026-01-09 17:00:00,Cash
170,3,32,60,2026-03-02 19:00:00,Cash
171,3,664,62,2026-05-16 17:00:00,Credit
172,1,182,5,2026-01-23 11:00:00,Credit
173,2,64,33,2026-07-02 15:00:00,Credit
174,4,629,63,2026-03-28 11:00:00,Debit
175,4,174,74,2026-07-11 19:00:00,Cash
176,1,686,2,2026-06-14 19:00:00,Credit
177,1,86,6,2026-06-05 17:00:00,Debit
178,1,178,21,2026-06-23 15:00:00,Cash
179,4,360,66,2026-07-10 13:00:00,Debit
180,2,475,25,2026-07-03 17:00:00,Credit
181,5,606,79,2026-03-03 11:00:00,Credit
182,4,253,72,2026-03-12 15:00:00,Cash
183,3,136,54,2026-07-07 17:00:00,Credit
184,2,324,36,2026-03-09 11:00:00,Credit
185,4,303,71,2026-03-07 11:00:00,Cash
186,2,358,43,2026-02-12 17:00:00,Cash
187,2,600,35,2026-06-27 11:00:00,Credit
188,2,662,44,2026-03-23 15:00:00,Debit
189,1,276,3,2026-06-17 17:00:00,Cash
190,4,119,68,2026-03-15 13:00:00,Debit
191,1,675,19,2026-06-12 17:00:00,Credit
192,2,9,28,2026-02-12 19:00:00,Debit
193,2,367,32,2026-04-04 11:00:00,Credit
194,2,632,37,2026-03-01 15:00:00,Cash
195,2,250,31,2026-05-13 15:00:00,Cash
196,2,42,30,2026-04-22 15:00:00,Cash
197,1,411,19,2026-05-09 19:00:00,Credit
