sale_item_id,sale_id,product_id,quantity,unit_price,discount_amount
1,1,1,2,11.87,0.0
2,1,12,3,12.04,0.0
3,1,36,3,23.88,2.39
4,2,27,2,24.04,0.0
5,2,164,2,11.63,1.16
6,2,229,3,17.37,0.0
7,3,40,2,15.33,0.0
8,3,8,3,23.8,0.0
9,3,26,1,10.08,0.0
10,3,210,1,11.73,0.0
11,4,5,2,11.32,1.13
12,4,226,1,10.11,0.0
13,4,131,1,13.68,0.0
14,4,45,1,9.43,0.0
15,5,9,3,12.58,0.0
16,5,11,3,10.32,0.0
17,6,1,1,11.87,0.0
18,6,34,3,19.46,0.0
19,6,13,2,4.43,0.0
20,6,28,3,16.85,0.0
21,6,29,1,5.4,0.0
22,7,33,1,5.52,0.0
23,7,3,1,16.72,0.0
24,7,108,1,18.3,0.0
25,7,26,2,10.08,1.01
26,7,28,3,16.85,0.0
27,8,244,1,7.55,0.0
28,8,13,2,4.43,0.0
29,8,30,3,4.36,0.0
30,8,23,2,14.2,0.0
31,9,25,2,19.85,0.0
32,9,98,3,24.18,0.0
33,9,163,3,13.57,0.0
34,9,111,2,16.8,0.0
35,10,33,1,5.52,0.0
36,10,2,1,11.3,0.0
37,11,32,3,5.99,0.6
38,11,29,2,5.4,0.0
39,12,58,2,8.6,0.0
40,12,35,1,3.73,0.0
41,12,12,1,12.04,0.0
42,13,8,3,23.8,0.0
43,13,26,4,10.08,0.0
44,13,69,4,15.15,1.52
45,14,8,3,23.8,0.0
46,14,23,1,14.2,0.0
47,15,16,1,3.81,0.0
48,15,161,1,19.7,0.0
49,15,37,3,16.44,0.0
50,15,246,2,4.38,0.0
51,16,89,3,17.61,1.76
52,16,21,1,3.76,0.0
53,16,174,2,13.87,0.0
54,17,15,1,11.21,0.0
55,17,55,2,12.62,1.26
56,17,142,3,16.37,0.0
57,17,7,2,5.95,0.0
58,18,232,1,23.93,0.0
59,18,13,2,4.43,0.0
60,18,82,1,24.79,0.0
61,18,23,2,14.2,0.0
62,18,24,2,6.46,0.0
63,18,219,1,13.5,0.0
64,19,32,4,5.99,0.6
65,19,3,4,16.72,0.0
66,19,37,1,16.44,0.0
67,19,18,2,19.15,0.0
68,19,24,2,6.46,0.0
69,20,192,2,9.33,0.0
70,20,2,2,11.3,0.0
71,20,237,2,22.09,2.21
72,20,27,2,24.04,0.0
73,20,156,1,22.79,2.28
74,21,37,1,16.44,0.0
75,21,6,2,24.22,0.0
76,21,124,1,9.86,0.0
77,21,16,1,3.81,0.0
78,21,24,2,6.46,0.0
79,21,28,1,16.85,0.0
80,22,38,4,12.67,0.0
81,22,205,2,2.44,0.0
82,22,14,4,12.02,0.0
83,22,21,2,3.76,0.0
84,22,26,3,10.08,0.0
85,22,31,2,7.89,0.79
86,23,90,2,3.2,0.0
87,23,36,1,23.88,0.0
88,23,95,2,10.89,0.0
89,24,75,3,20.65,0.0
90,24,23,1,14.2,0.0
91,25,32,3,5.99,0.0
92,25,232,3,23.93,0.0
93,25,233,1,14.51,0.0
94,25,11,3,10.32,1.03
95,25,14,3,12.02,1.2
96,25,217,3,3.44,0.0
97,26,32,1,5.99,0.0
98,26,7,2,5.95,0.0
99,26,12,2,12.04,0.0
100,26,15,3,11.21,0.0
101,26,112,3,9.55,0.0
102,27,1,3,11.87,1.19
103,27,4,1,8.66,0.87
104,27,36,3,23.88,0.0
105,27,176,1,3.93,0.0
106,27,24,3,6.46,0.0
107,27,185,1,23.4,0.0
108,28,32,2,5.99,0.0
109,28,226,1,10.11,0.0
110,28,69,3,15.15,0.0
111,28,10,2,17.86,0.0
112,28,244,3,7.55,0.0
113,28,29,2,5.4,0.0
114,29,162,3,19.9,0.0
115,29,3,3,16.72,0.0
116,29,80,3,2.9,0.0
117,29,51,1,20.32,0.0
118,29,26,3,10.08,0.0
119,29,159,3,15.12,0.0
120,30,8,3,23.8,0.0
121,30,25,3,19.85,0.0
122,30,228,3,6.31,0.0
123,31,40,1,15.33,0.0
124,31,26,2,10.08,0.0
125,32,33,3,5.52,0.0
126,32,97,2,21.59,0.0
127,32,109,2,3.95,0.0
128,32,173,2,18.36,0.0
129,32,19,2,7.1,0.0
130,33,64,2,15.35,0.0
131,33,33,1,5.52,0.0
132,33,13,2,4.43,0.0
133,33,27,2,24.04,0.0
134,33,30,3,4.36,0.0
135,34,33,2,5.52,0.0
136,34,35,1,3.73,0.0
137,34,22,2,16.56,0.0
138,34,29,2,5.4,0.0
139,34,95,1,10.89,0.0
140,35,150,1,19.3,0.0
141,35,29,3,5.4,0.0
142,35,22,1,16.56,0.0
143,36,32,1,5.99,0.0
144,36,14,2,12.02,0.0
145,36,23,1,14.2,0.0
146,37,3,1,16.72,0.0
147,37,167,2,15.91,0.0
148,37,13,3,4.43,0.0
149,37,19,2,7.1,0.0
150,37,214,2,7.48,0.75
151,37,154,3,24.21,0.0
152,38,8,3,23.8,0.0
153,38,194,2,18.44,0.0
154,38,26,2,10.08,0.0
155,38,76,1,21.26,0.0
156,39,65,3,23.95,0.0
157,39,10,3,17.86,0.0
158,40,32,2,5.99,0.0
159,40,1,2,11.87,0.0
160,40,7,1,5.95,0.6
161,40,16,3,3.81,0.38
162,40,25,2,19.85,0.0
163,41,147,3,18.55,0.0
164,41,22,1,16.56,0.0
165,42,240,3,10.59,0.0
166,42,222,1,15.23,0.0
167,43,26,1,10.08,0.0
168,43,3,2,16.72,0.0
169,43,36,3,23.88,2.39
170,44,72,2,13.53,0.0
171,44,66,2,19.0,0.0
172,44,31,2,7.89,0.79
173,45,5,2,11.32,0.0
174,45,221,2,16.53,0.0
175,45,22,1,16.56,0.0
176,46,33,1,5.52,0.55
177,46,2,2,11.3,0.0
178,46,98,2,24.18,0.0
179,46,20,2,19.92,0.0
180,46,22,1,16.56,1.66
181,47,7,1,5.95,0.0
182,47,17,2,22.02,0.0
183,47,24,1,6.46,0.0
184,47,26,2,10.08,0.0
185,47,158,2,17.6,0.0
186,47,31,3,7.89,0.79
187,48,17,3,22.02,0.0
188,48,2,2,11.3,0.0
189,48,20,3,19.92,0.0
190,48,23,3,14.2,0.0
191,49,3,4,16.72,0.0
192,49,38,3,12.67,0.0
193,49,12,2,12.04,0.0
194,49,14,3,12.02,0.0
195,49,30,1,4.36,0.0
196,50,39,3,14.97,0.0
197,50,10,2,17.86,0.0
198,50,11,3,10.32,0.0
199,50,25,1,19.85,0.0
200,50,93,2,9.58,0.0
201,50,62,3,15.66,0.0
202,51,44,3,24.69,0.0
203,51,221,3,16.53,0.0
204,52,16,3,3.81,0.0
205,52,2,1,11.3,0.0
206,52,14,3,12.02,0.0
207,53,26,2,10.08,1.01
208,53,27,3,24.04,0.0
209,53,37,1,16.44,0.0
210,53,6,3,24.22,0.0
211,54,16,1,3.81,0.38
212,54,93,2,9.58,0.0
213,54,21,2,3.76,0.0
214,55,6,3,24.22,2.42
215,55,234,2,20.09,0.0
216,55,179,2,13.81,0.0
217,55,20,1,19.92,0.0
218,55,184,2,22.35,0.0
219,55,185,3,23.4,0.0
220,56,32,1,5.99,0.0
221,56,35,2,3.73,0.0
222,56,36,2,23.88,0.0
223,56,7,3,5.95,0.0
224,56,75,3,20.65,0.0
225,56,25,2,19.85,0.0
226,57,65,1,23.95,0.0
227,57,9,1,12.58,0.0
228,57,42,3,22.29,0.0
229,58,32,3,5.99,0.0
230,58,6,1,24.22,0.0
231,58,240,4,10.59,0.0
232,58,17,1,22.02,0.0
233,58,22,3,16.56,0.0
234,59,9,1,12.58,0.0
235,59,20,1,19.92,0.0
236,59,21,1,3.76,0.0
237,59,23,2,14.2,0.0
238,60,24,3,6.46,0.0
239,60,1,3,11.87,0.0
240,60,194,2,18.44,0.0
241,60,38,2,12.67,0.0
242,61,1,1,11.87,0.0
243,61,48,4,12.11,0.0
244,61,23,1,14.2,0.0
245,61,28,3,16.85,0.0
246,61,29,4,5.4,0.0
247,61,191,3,7.16,0.0
248,62,176,3,3.93,0.0
249,62,34,2,19.46,0.0
250,62,23,3,14.2,0.0
251,63,144,1,18.59,1.86
252,63,131,2,13.68,0.0
253,64,33,1,5.52,0.0
254,64,44,1,24.69,0.0
255,65,10,1,17.86,0.0
256,65,38,3,12.67,0.0
257,66,1,3,11.87,0.0
258,66,4,1,8.66,0.0
259,66,38,3,12.67,0.0
260,66,21,1,3.76,0.0
261,66,149,2,16.04,0.0
262,66,126,3,6.42,0.0
263,67,40,2,15.33,1.53
264,67,11,1,10.32,0.0
265,67,60,2,24.48,0.0
266,67,238,1,3.0,0.3
267,67,28,2,16.85,0.0
268,67,190,1,3.88,0.0
269,68,25,3,19.85,0.0
270,68,10,3,17.86,0.0
271,68,36,3,23.88,2.39
272,68,1,2,11.87,0.0
273,69,33,3,5.52,0.0
274,69,12,3,12.04,0.0
275,69,25,3,19.85,0.0
276,69,6,2,24.22,0.0
277,70,29,1,5.4,0.0
278,70,38,2,12.67,0.0
279,71,64,2,15.35,0.0
280,71,37,3,16.44,0.0
281,71,38,2,12.67,0.0
282,71,6,3,24.22,0.0
283,71,206,3,6.96,0.0
284,71,23,3,14.2,0.0
285,72,12,3,12.04,0.0
286,72,177,3,5.69,0.0
287,72,20,2,19.92,0.0
288,72,87,1,10.91,0.0
289,72,188,2,10.6,0.0
290,73,30,2,4.36,0.0
291,73,154,2,24.21,0.0
292,73,60,2,24.48,0.0
293,73,190,1,3.88,0.0
294,73,191,2,7.16,0.0
295,74,239,3,10.9,0.0
296,74,35,2,3.73,0.0
297,74,22,1,16.56,0.0
298,74,23,3,14.2,0.0
299,75,10,1,17.86,0.0
300,75,4,3,8.66,0.0
301,75,5,1,11.32,0.0
302,76,38,2,12.67,0.0
303,76,8,1,23.8,0.0
304,76,109,2,3.95,0.4
305,76,26,3,10.08,1.01
306,76,31,1,7.89,0.0
307,77,27,1,24.04,0.0
308,77,212,1,7.47,0.0
309,78,81,1,18.28,0.0
310,78,25,1,19.85,0.0
311,78,146,4,10.38,0.0
312,78,17,3,22.02,0.0
313,79,154,1,24.21,0.0
314,79,19,3,7.1,0.0
315,80,24,3,6.46,0.0
316,80,230,3,14.04,0.0
317,81,19,1,7.1,0.71
318,81,13,1,4.43,0.0
319,81,39,2,14.97,0.0
320,82,35,2,3.73,0.37
321,82,230,3,14.04,0.0
322,82,11,1,10.32,0.0
323,82,49,1,12.79,0.0
324,82,25,3,19.85,0.0
325,82,26,3,10.08,0.0
326,83,8,2,23.8,0.0
327,83,40,1,15.33,0.0
328,83,37,2,16.44,0.0
329,83,29,1,5.4,0.0
330,84,32,3,5.99,0.0
331,84,18,3,19.15,0.0
332,84,51,3,20.32,0.0
333,84,23,3,14.2,0.0
334,85,28,2,16.85,0.0
335,85,197,3,2.88,0.0
336,85,30,1,4.36,0.0
337,85,247,3,15.38,0.0
338,86,3,1,16.72,0.0
339,86,6,3,24.22,0.0
340,86,181,3,4.11,0.0
341,86,56,1,2.86,0.0
342,86,62,1,15.66,0.0
343,87,6,1,24.22,0.0
344,87,7,2,5.95,0.0
345,87,167,2,15.91,0.0
346,87,184,2,22.35,0.0
347,87,218,2,21.24,0.0
348,87,29,1,5.4,0.54
349,88,32,1,5.99,0.0
350,88,89,2,17.61,0.0
351,88,226,2,10.11,0.0
352,89,5,3,11.32,0.0
353,89,37,1,16.44,0.0
354,89,23,3,14.2,0.0
355,89,26,2,10.08,0.0
356,89,158,3,17.6,0.0
357,90,8,3,23.8,2.38
358,90,40,2,15.33,0.0
359,90,14,2,12.02,0.0
360,90,16,3,3.81,0.0
361,90,24,2,6.46,0.0
362,90,250,1,10.1,1.01
363,91,26,2,10.08,0.0
364,91,21,1,3.76,0.0
365,91,38,1,12.67,0.0
366,92,113,1,4.94,0.0
367,92,28,3,16.85,0.0
368,93,10,3,17.86,0.0
