expense_id,store_id,expense_date,expense_type,description,amount
1,1,2026-01-01,Rent,Rent expense,11638.88
2,1,2026-01-01,Utilities,Utilities expense,3336.35
3,1,2026-01-01,Payroll,Payroll expense,23610.81
4,1,2026-01-15,Maintenance,Routine maintenance,1717.44
5,2,2026-01-01,Rent,Rent expense,13972.48
6,2,2026-01-01,Utilities,Utilities expense,3720.93
7,2,2026-01-01,Payroll,Payroll expense,25963.75
8,2,2026-01-15,Maintenance,Routine maintenance,540.28
9,3,2026-01-01,Rent,Rent expense,9705.47
10,3,2026-01-01,Utilities,Utilities expense,2804.39
11,3,2026-01-01,Payroll,Payroll expense,19397.06
12,3,2026-01-15,Maintenance,Routine maintenance,1302.61
13,4,2026-01-01,Rent,Rent expense,17620.15
14,4,2026-01-01,Utilities,Utilities expense,3018.85
15,4,2026-01-01,Payroll,Payroll expense,17627.87
16,4,2026-01-15,Maintenance,Routine maintenance,725.38
17,5,2026-01-01,Rent,Rent expense,18088.85
18,5,2026-01-01,Utilities,Utilities expense,2942.9
19,5,2026-01-01,Payroll,Payroll expense,17231.04
20,5,2026-01-15,Maintenance,Routine maintenance,1777.49
21,1,2026-02-01,Rent,Rent expense,11857.88
22,1,2026-02-01,Utilities,Utilities expense,3258.27
23,1,2026-02-01,Payroll,Payroll expense,23614.74
24,1,2026-02-15,Maintenance,Routine maintenance,1023.82
25,2,2026-02-01,Rent,Rent expense,14369.45
26,2,2026-02-01,Utilities,Utilities expense,3984.85
27,2,2026-02-01,Payroll,Payroll expense,26417.91
28,2,2026-02-15,Maintenance,Routine maintenance,1712.1
29,3,2026-02-01,Rent,Rent expense,9177.87
30,3,2026-02-01,Utilities,Utilities expense,2929.83
31,3,2026-02-01,Payroll,Payroll expense,18695.95
32,3,2026-02-15,Maintenance,Routine maintenance,1383.46
33,4,2026-02-01,Rent,Rent expense,17484.49
34,4,2026-02-01,Utilities,Utilities expense,2932.81
35,4,2026-02-01,Payroll,Payroll expense,17530.22
36,4,2026-02-15,Maintenance,Routine maintenance,883.08
37,5,2026-02-01,Rent,Rent expense,19081.24
38,5,2026-02-01,Utilities,Utilities expense,2816.47
39,5,2026-02-01,Payroll,Payroll expense,18038.81
40,5,2026-02-15,Maintenance,Routine maintenance,1017.44
41,1,2026-03-01,Rent,Rent expense,12352.36
42,1,2026-03-01,Utilities,Utilities expense,3295.29
43,1,2026-03-01,Payroll,Payroll expense,22857.8
44,1,2026-03-15,Maintenance,Routine maintenance,1185.65
45,2,2026-03-01,Rent,Rent expense,14474.88
46,2,2026-03-01,Utilities,Utilities expense,3641.62
47,2,2026-03-01,Payroll,Payroll expense,24768.08
48,2,2026-03-15,Maintenance,Routine maintenance,1748.71
49,3,2026-03-01,Rent,Rent expense,9317.14
50,3,2026-03-01,Utilities,Utilities expense,2871.94
51,3,2026-03-01,Payroll,Payroll expense,18466.92
52,3,2026-03-15,Maintenance,Routine maintenance,1552.52
53,4,2026-03-01,Rent,Rent expense,16268.52
54,4,2026-03-01,Utilities,Utilities expense,2892.06
55,4,2026-03-01,Payroll,Payroll expense,18510.1
56,4,2026-03-15,Maintenance,Routine maintenance,558.14
57,5,2026-03-01,Rent,Rent expense,18888.51
58,5,2026-03-01,Utilities,Utilities expense,2776.49
59,5,2026-03-01,Payroll,Payroll expense,18343.45
60,5,2026-03-15,Maintenance,Routine maintenance,1626.52
61,1,2026-04-01,Rent,Rent expense,11713.23
62,1,2026-04-01,Utilities,Utilities expense,3172.8
63,1,2026-04-01,Payroll,Payroll expense,24122.36
64,1,2026-04-15,Maintenance,Routine maintenance,1182.7
65,2,2026-04-01,Rent,Rent expense,14212.99
66,2,2026-04-01,Utilities,Utilities expense,3773.24
67,2,2026-04-01,Payroll,Payroll expense,25328.61
68,2,2026-04-15,Maintenance,Routine maintenance,1291.02
69,3,2026-04-01,Rent,Rent expense,9534.01
70,3,2026-04-01,Utilities,Utilities expense,2701.0
71,3,2026-04-01,Payroll,Payroll expense,18430.57
72,3,2026-04-15,Maintenance,Routine maintenance,1701.16
73,4,2026-04-01,Rent,Rent expense,17800.21
74,4,2026-04-01,Utilities,Utilities expense,2905.23
75,4,2026-04-01,Payroll,Payroll expense,17157.79
76,4,2026-04-15,Maintenance,Routine maintenance,999.82
77,5,2026-04-01,Rent,Rent expense,18642.27
78,5,2026-04-01,Utilities,Utilities expense,2812.84
79,5,2026-04-01,Payroll,Payroll expense,17569.68
80,5,2026-04-15,Maintenance,Routine maintenance,1541.35
81,1,2026-05-01,Rent,Rent expense,12419.37
82,1,2026-05-01,Utilities,Utilities expense,3193.16
83,1,2026-05-01,Payroll,Payroll expense,22348.88
84,1,2026-05-15,Maintenance,Routine maintenance,1558.07
85,2,2026-05-01,Rent,Rent expense,14643.15
86,2,2026-05-01,Utilities,Utilities expense,3630.18
87,2,2026-05-01,Payroll,Payroll expense,25547.9
88,2,2026-05-15,Maintenance,Routine maintenance,1377.96
89,3,2026-05-01,Rent,Rent expense,9106.99
90,3,2026-05-01,Utilities,Utilities expense,2733.01
91,3,2026-05-01,Payroll,Payroll expense,19679.79
92,3,2026-05-15,Maintenance,Routine maintenance,868.05
93,4,2026-05-01,Rent,Rent expense,16253.34
94,4,2026-05-01,Utilities,Utilities expense,3008.5
95,4,2026-05-01,Payroll,Payroll expense,18116.67
