inventory_id,store_id,product_id,quantity_on_hand,reorder_level,aisle_number,shelf_number,last_updated
1,1,1,126,20,A3,4,2026-08-01 08:00:00
2,1,2,162,20,A3,1,2026-08-01 08:00:00
3,1,3,5,20,A1,2,2026-08-01 08:00:00
4,1,4,50,20,A5,5,2026-08-01 08:00:00
5,1,5,141,20,A8,3,2026-08-01 08:00:00
6,1,6,49,20,A4,3,2026-08-01 08:00:00
7,1,7,131,20,A1,3,2026-08-01 08:00:00
8,1,8,109,20,A6,4,2026-08-01 08:00:00
9,1,9,142,20,A7,3,2026-08-01 08:00:00
10,1,10,87,20,A8,3,2026-08-01 08:00:00
11,1,11,172,20,A2,4,2026-08-01 08:00:00
12,1,12,60,20,A3,5,2026-08-01 08:00:00
13,1,13,115,20,A2,3,2026-08-01 08:00:00
14,1,14,115,20,A7,2,2026-08-01 08:00:00
15,1,15,153,20,A1,3,2026-08-01 08:00:00
16,1,16,151,20,A1,1,2026-08-01 08:00:00
17,1,17,7,20,A3,1,2026-08-01 08:00:00
18,1,18,76,20,A8,1,2026-08-01 08:00:00
19,1,19,72,20,A6,3,2026-08-01 08:00:00
20,1,20,138,20,A1,5,2026-08-01 08:00:00
21,1,21,79,20,A6,3,2026-08-01 08:00:00
22,1,22,153,20,A3,5,2026-08-01 08:00:00
23,1,23,133,20,A5,2,2026-08-01 08:00:00
24,1,24,4,20,A8,5,2026-08-01 08:00:00
25,1,25,139,20,A2,3,2026-08-01 08:00:00
26,1,26,106,20,A4,5,2026-08-01 08:00:00
27,1,27,113,20,A8,2,2026-08-01 08:00:00
28,1,28,71,20,A2,4,2026-08-01 08:00:00
29,1,29,84,20,A8,1,2026-08-01 08:00:00
30,1,30,121,20,A2,5,2026-08-01 08:00:00
31,1,31,178,20,A5,2,2026-08-01 08:00:00
32,1,32,84,20,A4,1,2026-08-01 08:00:00
33,1,33,91,20,A4,4,2026-08-01 08:00:00
34,1,34,7,20,A6,4,2026-08-01 08:00:00
35,1,35,73,20,A2,1,2026-08-01 08:00:00
36,1,36,119,20,A8,5,2026-08-01 08:00:00
37,1,37,145,20,A2,2,2026-08-01 08:00:00
38,1,38,121,20,A8,4,2026-08-01 08:00:00
39,1,39,172,20,A3,2,2026-08-01 08:00:00
40,1,40,150,20,A1,1,2026-08-01 08:00:00
41,1,41,172,20,A3,2,2026-08-01 08:00:00
42,1,42,122,20,A4,3,2026-08-01 08:00:00
43,1,43,172,20,A2,3,2026-08-01 08:00:00
44,1,44,90,20,A5,2,2026-08-01 08:00:00
45,1,45,117,20,A2,5,2026-08-01 08:00:00
46,1,46,83,20,A3,2,2026-08-01 08:00:00
47,1,47,126,20,A1,1,2026-08-01 08:00:00
48,1,48,60,20,A5,2,2026-08-01 08:00:00
49,1,49,146,20,A1,4,2026-08-01 08:00:00
50,1,50,179,20,A5,4,2026-08-01 08:00:00
51,1,51,14,20,A7,3,2026-08-01 08:00:00
52,1,52,156,20,A1,2,2026-08-01 08:00:00
53,1,53,152,20,A8,2,2026-08-01 08:00:00
