vendor_product_id,vendor_id,product_id,vendor_price,minimum_order_quantity,estimated_delivery_days,is_preferred
1,1,1,8.07,10,2,False
2,2,2,5.94,12,5,False
3,3,3,7.8,12,2,False
4,4,4,5.11,10,5,False
5,5,5,6.23,12,5,True
6,6,6,12.31,12,7,False
7,7,7,3.61,10,5,False
8,8,8,13.47,10,6,False
9,9,9,7.61,10,7,False
10,10,10,12.22,5,5,True
11,1,11,5.98,12,3,False
12,2,12,5.74,5,6,False
13,3,13,2.78,12,3,False
14,4,14,8.13,5,7,False
15,5,15,6.47,10,5,True
16,6,16,2.17,12,5,False
17,7,17,10.93,5,2,False
18,8,18,8.91,10,6,False
19,9,19,3.97,12,4,False
20,10,20,10.51,12,3,True
21,1,21,1.83,10,6,False
22,2,22,8.87,10,2,False
23,3,23,8.23,12,7,False
24,4,24,3.14,5,6,False
25,5,25,13.0,12,2,True
26,6,26,5.6,5,3,False
27,7,27,14.67,5,2,False
28,8,28,9.02,12,5,False
29,9,29,3.37,10,6,False
30,10,30,2.72,12,6,True
31,1,31,5.45,12,4,False
32,2,32,3.32,5,2,False
33,3,33,3.11,5,5,False
34,4,34,9.82,5,7,False
35,5,35,1.89,5,5,True
36,6,36,14.47,5,5,False
37,7,37,10.42,10,7,False
38,8,38,6.89,10,3,False
39,9,39,9.83,5,4,False
40,10,40,6.94,10,2,True
41,1,41,10.4,5,4,False
42,2,42,12.48,12,6,False
43,3,43,11.39,10,2,False
44,4,44,17.13,5,3,False
45,5,45,4.91,5,4,True
46,6,46,15.32,10,6,False
47,7,47,4.74,5,2,False
48,8,48,5.98,10,2,False
49,9,49,5.82,12,3,False
50,10,50,9.0,5,4,True
51,1,51,13.9,10,5,False
52,2,52,7.96,10,7,False
53,3,53,4.97,12,6,False
54,4,54,2.49,12,2,False
55,5,55,6.05,5,3,True
56,6,56,1.42,10,7,False
57,7,57,5.7,12,5,False
58,8,58,5.97,5,2,False
59,9,59,10.78,12,3,False
60,10,60,16.25,10,3,True
61,1,61,2.17,5,7,False
62,2,62,10.16,5,6,False
63,3,63,7.5,10,3,False
64,4,64,9.7,10,7,False
65,5,65,14.46,5,6,True
66,6,66,10.39,12,6,False
67,7,67,1.6,12,5,False
68,8,68,11.33,12,4,False
69,9,69,8.81,10,7,False
70,10,70,4.36,10,4,True
71,1,71,9.48,12,6,False
72,2,72,8.29,5,3,False
73,3,73,16.19,10,3,False
74,4,74,6.79,10,5,False
75,5,75,13.88,12,3,True
76,6,76,14.54,10,4,False
77,7,77,14.45,5,2,False
78,8,78,2.06,12,4,False
79,9,79,8.56,5,5,False
80,10,80,1.68,10,5,True
81,1,81,10.29,10,5,False
82,2,82,13.43,10,4,False
83,3,83,7.28,5,3,False
84,4,84,8.98,10,7,False
85,5,85,4.86,5,4,True
86,6,86,15.27,12,6,False
87,7,87,6.67,10,3,False
88,8,88,9.4,5,4,False
89,9,89,8.09,5,4,False
90,10,90,1.6,10,4,True
91,1,91,8.68,12,4,False
92,2,92,4.83,12,3,False
93,3,93,6.7,12,7,False
94,4,94,8.69,10,2,False
95,5,95,7.0,10,4,True
96,6,96,5.04,10,5,False
97,7,97,14.15,12,2,False
98,8,98,13.73,12,3,False
99,9,99,10.57,5,3,False
100,10,100,3.44,5,5,True
101,1,101,1.97,12,6,False
102,2,102,11.04,12,5,False
103,3,103,12.36,5,4,False
104,4,104,6.05,10,7,False
105,5,105,9.48,10,5,True
106,6,106,11.43,5,4,False
107,7,107,2.41,5,4,False
108,8,108,12.55,5,5,False
109,9,109,2.58,10,4,False
110,10,110,7.52,10,7,True
111,1,111,10.72,12,6,False
112,2,112,5.01,12,2,False
113,3,113,2.92,5,3,False
114,4,114,8.87,10,6,False
115,5,115,14.45,12,6,True
116,6,116,14.8,10,5,False
117,7,117,11.52,10,2,False
118,8,118,2.42,5,5,False
119,9,119,8.31,12,5,False
120,10,120,8.35,10,2,True
121,1,121,1.19,12,6,False
122,2,122,4.5,12,6,False
123,3,123,13.66,5,3,False
124,4,124,4.61,10,4,False
125,5,125,9.84,10,7,True
126,6,126,3.73,10,2,False
127,7,127,13.55,5,3,False
128,8,128,2.96,10,5,False
129,9,129,4.31,5,3,False
130,10,130,11.76,10,7,True
131,1,131,6.39,5,3,False
132,2,132,9.62,10,5,False
133,3,133,12.43,12,5,False
134,4,134,6.91,12,4,False
135,5,135,10.28,12,7,True
136,6,136,13.77,10,3,False
137,7,137,7.32,5,5,False
138,8,138,7.33,10,6,False
139,9,139,3.62,12,4,False
140,10,140,4.17,10,5,True
141,1,141,10.15,5,7,False
142,2,142,7.74,12,5,False
143,3,143,12.22,12,4,False
144,4,144,10.18,5,5,False
145,5,145,1.54,12,7,True
146,6,146,5.79,10,7,False
147,7,147,9.2,12,2,False
148,8,148,13.33,5,3,False
149,9,149,10.77,5,4,False
150,10,150,12.94,12,4,True
151,1,151,12.35,5,7,False
152,2,152,4.66,5,5,False
153,3,153,4.15,12,2,False
154,4,154,16.92,5,2,False
155,5,155,11.55,10,5,True
156,6,156,12.82,10,3,False
157,7,157,3.72,10,2,False
158,8,158,8.24,12,7,False
159,9,159,9.64,10,4,False
160,10,160,7.72,5,5,True
161,1,161,9.05,10,2,False
162,2,162,12.48,5,4,False
163,3,163,8.38,10,5,False
164,4,164,6.57,5,6,False
165,5,165,3.52,12,5,True
166,6,166,3.2,10,3,False
167,7,167,7.84,5,6,False
168,8,168,10.49,10,2,False
169,9,169,1.87,10,3,False
170,10,170,6.13,5,7,True
171,1,171,5.46,10,4,False
172,2,172,11.62,12,2,False
173,3,173,12.36,12,3,False
174,4,174,7.77,5,7,False
175,5,175,3.18,12,7,True
176,6,176,2.47,5,5,False
177,7,177,3.54,10,2,False
178,8,178,7.39,5,5,False
179,9,179,8.86,5,4,False
180,10,180,14.3,5,2,True
181,1,181,1.87,5,2,False
182,2,182,12.26,5,7,False
183,3,183,12.83,5,2,False
184,4,184,14.51,12,3,False
185,5,185,14.77,5,5,True
186,6,186,6.67,10,4,False
187,7,187,6.57,5,6,False
188,8,188,5.32,12,5,False
